Title,Author,Start Date,End Date,Publication Year,Source,Volume,Issue,Beg page,End page,Order,Family,Genus,Species,Age,Latitude,Longitude,Number monitored,Total Mortality,Known Mortality,Total Harvest,Legal Harvest,Illegal Harvest,Vehicle,Poisoning,Agricultural,Train,Fence Entanglement,Other Human,Management Related,Predation,Disease,Accident/Injury,Other Natural,Starvation/Malnutrition,Weather,Drowning,Other Animal-Nonpredation,Unknown
Survival rates and causes of mortality in Eurasian lynx in multi-use landscapes,Andren,1994,2002,2006,Biological Conservation,131,1,23,32,Carnivora,Felidae,Lynx,lynx,Adult,59.50000,15.50000,NA,11,10,10,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Survival rates and causes of mortality in Eurasian lynx in multi-use landscapes,Andren,1994,2002,2006,Biological Conservation,131,1,23,32,Carnivora,Felidae,Lynx,lynx,Juvenile,67.00000,17.66667,NA,47,12,5,1,4,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,35
Survival rates and causes of mortality in Eurasian lynx in multi-use landscapes,Andren,1994,2002,2006,Biological Conservation,131,1,23,32,Carnivora,Felidae,Lynx,lynx,Juvenile,64.58333,12.33333,NA,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Survival rates and causes of mortality in Eurasian lynx in multi-use landscapes,Andren,1994,2002,2006,Biological Conservation,131,1,23,32,Carnivora,Felidae,Lynx,lynx,Juvenile,61.25000,11.50000,NA,14,8,4,1,3,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6
Survival rates and causes of mortality in Eurasian lynx in multi-use landscapes,Andren,1994,2002,2006,Biological Conservation,131,1,23,32,Carnivora,Felidae,Lynx,lynx,Juvenile,59.75000,11.25000,NA,5,4,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Survival rates and causes of mortality in Eurasian lynx in multi-use landscapes,Andren,1994,2002,2006,Biological Conservation,131,1,23,32,Carnivora,Felidae,Lynx,lynx,Juvenile,59.50000,15.50000,NA,32,10,4,2,2,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,22
Lynx ecology in the Southern Canadian Rocky Mountains: Preliminary Results and Conservation Implications,Apps,1996,1998,1999,Proc Conf Biol Manage Species and Habitats at Risk,2,,713,720,Carnivora,Felidae,Lynx,lynx,Juvenile,51.13574,-115.94736,10,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0
"Changes in kit fox-coyote-prey relationships in the Great Basin desert, Utah",Arjo,1999,2001,2007,Western North American Naturalist,67,3,389,401,Carnivora,Canidae,Vulpes,macrotis,Juvenile,40.12628,-113.41897,7,3,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1
Behavioral responses of coyotes to wolf recolonization in northwestern MT,Arjo,1994,1997,1999,Canadian Journal of Zoology,77,12,1919,1927,Carnivora,Canidae,Canis,latrans,Adult,48.87795,-114.01859,18,13,10,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,0,0,3
"Changes in kit fox-coyote-prey relationships in the Great Basin desert, Utah",Arjo,1999,2001,2007,Western North American Naturalist,67,3,389,401,Carnivora,Canidae,Vulpes,macrotis,Adult,40.12628,-113.41897,20,7,6,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1
"Mountain beaver home ranges, habitat use, and population dynamics in Washington",Arjo,2002,2003,2007,Canadian Journal of Zoology,85,3,328,337,Rodentia,Aplodontiidae,Aplodontia,rufa,Adult,47.04463,-123.83580,41,20,15,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,5
Predator-Mediated Indirect Effects of Snowshoe Hares on Dall's Sheep in Alaska,Arthur,1999,2004,2010,The Journal of Wildlife Management,74,8,1709,1721,Artiodactyla,Bovidae,Ovis,dalli,Adult,64.05285,-147.41218,30,18,17,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,1
Dispersal of Juvenile Fishers in Maine,Arthur,1984,1990,1993,The Journal of Wildlife Management,57,4,868,874,Carnivora,Mustelidae,Martes,pennanti,Juvenile,44.45702,-69.23438,45,19,18,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Predator-Mediated Indirect Effects of Snowshoe Hares on Dall's Sheep in Alaska,Arthur,1999,2004,2010,The Journal of Wildlife Management,74,8,1709,1721,Artiodactyla,Bovidae,Ovis,dalli,Juvenile,64.05285,-147.41218,150,80,80,0,0,0,0,0,0,0,0,0,0,74,0,0,6,0,0,0,0,0
Ecology and Social Organization of a Tropical Deer,Aung,1995,1999,2001,Journal of Mammalogy,82,3,836,847,Artiodactyla,Cervidae,Cervus,eldii,Adult,23.59640,95.49737,19,6,5,1,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1
"Dispersal, survival, and reproduction of wild-born, yearling swift foxes in a reintroduced population",Ausband,2003,2005,2007,Canadian Journal of Zoology,85,2,185,189,Carnivora,Canidae,Vulpes,velox,Juvenile,48.76821,-112.95574,35,15,14,0,0,0,2,0,0,0,0,0,0,12,0,0,0,0,0,0,0,1
"Swift fox reintroductions on the Blackfeet Indian Reservation, Montana, USA",Ausband,1998,2002,2013,Biological Conservation,136,3,423,430,Carnivora,Canidae,Vulpes,velox,Adult,48.76821,-112.95574,58,33,31,0,0,0,5,0,0,0,0,0,0,26,0,0,0,0,0,0,0,2
"Estimating population size and density of a low-density population of black bears in Rocky Mountain National Park, Colorado",Baldwin,2003,2006,2012,European Journal of Wildlife Research,58,3,557,566,Carnivora,Ursidae,Ursus,americanus,Adult,40.44706,-105.86680,14,4,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Survival of Female Elk in Arizona,Ballard,1985,1993,2000,The Journal of Wildlife Management,64,2,64,2,Artiodactyla,Cervidae,Cervus,elaphus,Juvenile,33.85243,-109.70045,43,4,3,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Demography of Grizzly Bears in Relation to Hunting and Mining Development in Northwestern Alaska,Ballard,1986,1990,1993,Scientific Monograph US Dept of Interior,,,1,118,Carnivora,Ursidae,Ursus,arctos,Adult,67.44905,-163.51950,67,16,16,14,14,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
Ecology of Wolves in Relation to a Migratory Caribou Herd in Northwest Alaska,Ballard,1987,1992,1997,Wildlife Monographs,135,1,3,47,Carnivora,Canidae,Canis,lupus,Adult,67.23053,-160.05718,85,53,53,36,36,0,0,0,0,0,0,0,0,1,11,0,1,3,0,0,1,0
Causes of Neonatal Moose Calf Mortality in South Central Alaska,Ballard,1977,1978,1981,The Journal of Wildlife Management,45,2,335,342,Artiodactyla,Cervidae,Alces,alces,Juvenile,63.07849,-146.26163,136,66,63,0,0,0,0,0,0,0,0,0,0,57,0,0,6,0,0,0,0,3
Ecology of an Exploited Wolf Population in South-Central Alaska,Ballard,1975,1982,1987,Wildlife Monographs,98,1,3,54,Carnivora,Canidae,Canis,lupus,Adult,62.10979,-149.01884,151,71,71,57,33,24,1,0,0,0,0,0,0,0,0,0,2,1,0,1,9,0
Population Dynamics of Moose in South-Central Alaska,Ballard,1976,1986,1991,Wildlife Monographs,114,1,3,49,Artiodactyla,Cervidae,Alces,alces,Adult,62.20640,-145.68318,184,34,23,12,12,0,0,0,0,0,0,0,0,8,0,0,0,3,0,0,0,11
Survival of Female Elk in Arizona,Ballard,1985,1993,2000,The Journal of Wildlife Management,64,2,64,2,Artiodactyla,Cervidae,Cervus,canadensis,Adult,33.85243,-109.70045,197,37,29,25,22,3,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,8
Population Dynamics of Moose in South-Central Alaska,Ballard,1976,1986,1991,Wildlife Monographs,114,1,3,49,Artiodactyla,Cervidae,Alces,alces,Juvenile,62.20640,-145.68318,279,235,232,0,0,0,0,0,0,0,0,0,0,104,101,0,15,12,0,0,0,3
"Edge effects and the impact of non-protected areas in carnivore conservation: leopards in the Phinda-Mkuze Complex, South Africa",Balme,2002,2007,2010,Animal Conservation,13,3,315,323,Carnivora,Felidae,Panthera,pardus,Adult,-27.64720,32.23767,37,12,10,5,1,4,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,2
Impact of Conservation interventions on the dynamics and persistence of a persecuted leopard population,Balme,2002,2007,2009,Biological Conservation,142,11,2681,2690,Carnivora,Felidae,Panthera,pardus,Adult,-27.85448,32.33517,42,20,17,8,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3
