Title,Author,Start Date,End Date,Publication Year,Source,Volume,Issue,Beg page,End page,Order,Family,Genus,Species,Age,Latitude,Longitude,Number monitored,Total Mortality,Known Mortality,Total Harvest,Legal Harvest,Illegal Harvest,Vehicle,Poisoning,Agricultural,Train,Fence Entanglement,Other Human,Management Related,Predation,Disease,Accident/Injury,Other Natural,Starvation/Malnutrition,Weather,Drowning,Other Animal-Nonpredation,Unknown
"Population Characteristics and Winter Ecology of Black Bears in Coahuila, Mexico",Doan-Crider,1991,1994,1996,The Journal of Wildlife Management,60,2,398,407,Carnivora,Ursidae,Ursus,americanus,Adult,28.83306,-102.24955,28,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Population Ecology of Black Bears in the Okefenokee-Osceola Ecosystem,Dobey,1995,1999,2002,"Final Report, Southern Appalachian Field Lab, US Geological Survey",,,1,151,Carnivora,Ursidae,Ursus,americanus,Adult,30.69506,-82.37438,87,17,17,12,12,0,1,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0
Population Ecology of Black Bears in the Okefenokee-Osceola Ecosystem,Dobey,1995,1999,2002,"Final Report, Southern Appalachian Field Lab, US Geological Survey",,,1,151,Carnivora,Ursidae,Ursus,americanus,Adult,30.31734,-82.43756,NA,2,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Survival, reproduction and movements of Moose in the Upper Peninsula of Michigan",Dodge,1999,2001,2004,Alces,40,,71,85,Artiodactyla,Cervidae,Alces,alces,Adult,45.74582,-87.44240,84,17,17,0,0,0,1,0,0,0,0,0,0,0,11,0,2,3,0,0,0,0
Juvenile and adult mortality patterns in a vicuna population,Donadio,2008,2011,2012,Journal of Mammalogy,93,6,1536,1544,Artiodactyla,Camelidae,Vicugna,vicugna,Juvenile,-29.24981,-69.34944,93,27,19,0,0,0,0,0,0,0,0,0,0,13,0,0,6,0,0,0,0,8
Evidence for source-sink dynamics in a regional population of arctic ground squirrels ,Donker,2009,2009,2012,Wildlife Research,39,2,163,170,Rodentia,Sciuridae,Urocitellus ,parryii,Juvenile,61.29201,-138.61325,34,8,8,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0
Bobcat ecology in a longleaf pine ecosystem in southwestern Georgia,Doughty,2001,2004,2004,Thesis: University of Georgia,,,1,132,Carnivora,Felidae,Lynx,rufus,Adult,31.25226,-84.37589,44,14,9,4,4,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5
Bobcat ecology in a longleaf pine ecosystem in southwestern Georgia,Doughty,2001,2004,2006,Thesis: University of Georgia,,,1,132,Carnivora,Felidae,Lynx,rufus,Juvenile,31.25226,-84.37589,NA,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Population dynamics of northern white-tailed deer during mild winters: evidence of regulation by food competition,Dumont,1994,1996,2000,Canadian Journal of Zoology,78,5,764,776,Artiodactyla,Cervidae,Odocoileus,virginianus,Multiple,47.92995,-69.15510,75,10,10,0,0,0,3,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0
Population Ecology of Badgers in Ohio,Duquette,2005,2008,2008,Thesis: The Ohio State University,,,1,144,Carnivora,Mustelidae,Taxidea,taxus,Multiple,40.19573,-89.90686,52,19,17,0,0,0,2,0,4,0,0,0,0,8,2,0,0,1,0,0,0,2
"Effects of Maternal Nutrition, Resource Use and Multi-Predator Risk on Neonatal White-Tailed Deer Survival",Duquette,2009,2011,2014,Plos One,9,6,e100841,,Artiodactyla,Cervidae,Odocoileus,virginianus,Juvenile,45.71661,-87.14147,129,65,56,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,9
Spatial and Tempotal Patterns of Mortality among Female White-Tailed Deer,Dusek,1980,1989,1992,The Journal of Wildlife Management,56,4,645,650,Artiodactyla,Cervidae,Odocoileus,virginianus,Adult,47.10402,-104.70220,154,99,86,74,74,0,4,0,0,0,0,0,0,0,0,0,8,0,0,0,0,13
Aspects of Reproduction and Cub Survival in a Hunted Population of Virginia Black Bears,Echols,1994,1999,2000,Thesis: Virginia Polytechnic Institute and State University,,,1,101,Carnivora,Ursidae,Ursus,americanus,Juvenile,37.42955,-80.43430,98,8,6,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,3,2
"Population status, distribution and movements of woodland caribou in west central Alberta",Edmonds,1979,1984,1988,Canadian Journal of Zoology,66,4,817,826,Artiodactyla,Cervidae,Rangifer,tarandus,Adult,54.94883,-118.27062,24,12,12,1,0,1,1,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0
Chronic wasting disease drives population decline of white-tailed deer,Edmunds,2003,2010,2016,Plos One,,,e0161127,,Artiodactyla,Cervidae,Odocoileus,virginianus,Multiple,42.69621,-105.97519,175,98,83,46,46,0,6,0,0,0,2,0,0,5,23,0,0,0,0,1,0,15
Recolonizing wolves influence the realized niche of resident cougars,Elbroch,2002,2012,2015,Zoological Studies,54,,2,11,Carnivora,Felidae,Puma,concolor,Adult,44.09015,-110.09610,NA,45,40,17,16,1,0,0,0,0,0,3,0,0,5,0,1,9,0,0,5,5
Recolonizing wolves influence the realized niche of resident cougars,Elbroch,2002,2012,2015,Zoological Studies,54,,2,11,Carnivora,Felidae,Puma,concolor,Juvenile,44.09015,-110.09610,NA,26,21,0,0,0,0,0,0,0,0,0,1,7,1,0,0,10,0,0,2,5
"Snowshoe hare nutrition in a conifer forest: Effects of winter food on energy use, activity and demography in a low-density population",Ellsworth,2001,2002,2009,Thesis: University of Idaho,,,1,107,Lagomorpha,Leporidae,Lepus,americanus,Adult,47.68600,-116.61329,222,64,64,0,0,0,0,0,0,0,0,0,0,60,0,0,4,0,0,0,0,0
Factors Affecting Black Bear Reproductive Success and Cub Survival,Elowe,1984,1987,1989,The Journal of Wildlife Management,53,4,962,968,Carnivora,Ursidae,Ursus,americanus,Juvenile,42.50000,-72.75000,62,21,21,8,8,0,1,0,0,0,0,0,0,0,3,1,8,0,0,0,0,0
Home range and mortality of White-Tailed Deer Fawns in Coastal South Carolina,Epstein,1981,1982,1985,Proc Ann Conf SEAFWA,39,,373,379,Artiodactyla,Cervidae,Odocoileus,virginianus,Juvenile,33.16611,-79.21254,48,38,38,0,0,0,0,0,0,0,0,0,0,25,0,1,0,12,0,0,0,0
Survival and Causes of mortality for fisher and marten in Minnesota,Erb,2007,2008,2013,Summaries of Research Findings 2011,,,64,73,Carnivora,Mustelidae,Martes,pennanti,Adult,47.60218,-92.35277,30,7,7,1,1,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0
Survival and Causes of mortality for fisher and marten in Minnesota,Erb,2007,2008,2013,Summaries of Research Findings 2011,,,64,73,Carnivora,Mustelidae,Martes,americana,Adult,47.60218,-92.35277,47,14,14,2,2,0,1,0,0,0,0,1,0,8,0,0,2,0,0,0,0,0
Effect of clearcutting operations on the survival rate of a small mammal,Escobar,2009,2013,2015,Plos One,10,3,e0118883,,Rodentia,Cricetidae,Abrothrix,longipilis,Adult,-36.00062,-72.77608,51,35,35,0,0,0,0,0,0,0,0,22,0,6,0,0,7,0,0,0,0,0
Natal dispersal by pygmy rabbits ,Estes-Zumpf,2004,2005,2009,Journal of Mammalogy,90,2,363,372,Lagomorpha,Leporidae,Brachylagus,idahoensis,Juvenile,44.78090,-113.49311,61,41,26,0,0,0,0,0,0,0,0,0,0,26,,0,0,0,0,0,0,15
Population dynamics of snowshoe hares in relation to furbearer harvest,Etcheverry,1998,2001,2005,The Journal of Wildlife Management,69,2,771,781,Lagomorpha,Leporidae,Lepus,americanus,Adult,47.59868,-69.35103,122,71,71,2,2,0,1,0,0,0,0,0,0,61,0,0,7,0,0,0,0,0
"Survival and Movements of White-Tailed Deer in Suburban Chicago, Illinois",Etter,1994,1998,2002,The Journal of Wildlife Management,66,2,500,510,Artiodactyla,Cervidae,Odocoileus,virginianus,Adult,41.91765,-87.98229,208,22,22,7,3,4,13,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
"Survival and Movements of White-Tailed Deer in Suburban Chicago, Illinois",Etter,1994,1998,2002,The Journal of Wildlife Management,66,2,500,510,Artiodactyla,Cervidae,Odocoileus,virginianus,Juvenile,41.91765,-87.98229,NA,9,9,0,0,0,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Survival of Adult Female Elk in Yellowstone Following Wolf Restoration,Evans,2000,2004,2006,The Journal of Wildlife Management,70,5,1372,1378,Artiodactyla,Cervidae,Cervus,elaphus,Adult,45.03502,-110.73874,85,33,27,11,11,0,0,0,0,0,0,0,0,14,0,0,0,2,0,0,0,6
Survival and cause-specific mortality of gray foxes in southern California,Farias,1997,1999,2005,Journal of Zoology,266,3,249,254,Carnivora,Canidae,Urocyon,cinereoargenteus,Multiple,34.08539,-118.76330,24,12,11,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,1
"Spatio-temporal ecology and habitat selection of the critically endangered tropical hare in Oaxaca, Mexico",Farias,2001,2003,2004,Thesis: University of Massachusetts Amherst,,3,249,120,Lagomorpha,Leporidae,Lepus,flavigularis,Adult,16.33700,-94.51283,25,13,13,2,0,2,0,0,0,0,0,1,0,10,0,0,0,0,0,0,0,0
"Spatio-temporal ecology and habitat selection of the critically endangered tropical hare in Oaxaca, Mexico",Farias,2001,2003,2004,Thesis: University of Massachusetts Amherst,,3,249,120,Lagomorpha,Leporidae,Lepus,flavigularis,Juvenile,16.33700,-94.51283,35,16,16,1,0,1,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0
"Movements, activity patterns, and habitat use of snowshoe hares in interior Alaska",Feierabend,2008,2013,2014,Journal of Mammalogy,95,3,525,533,Lagomorpha,Leporidae,Lepus,americanus,Adult,64.70075,-148.35300,318,229,177,0,0,0,0,0,0,0,0,0,0,169,0,0,0,8,0,0,0,52
Rates and Causes of mortality in a fragmented population of Iberian lynx ,Ferreras,1983,1989,1992,Biological Conservation,61,3,197,202,Carnivora,Felidae,Lynx,pardinus,Adult,37.04292,-6.45294,30,11,9,4,0,4,2,0,0,0,0,0,0,1,0,1,1,0,0,0,0,2
Short-term effects of logging on snowshoe hares in the boreal forest,Ferron,1991,1996,1998,Canadian Journal of Forest Research,28,9,1335,1343,Lagomorpha,Leporidae,Lepus,americanus,Adult,47.68343,-78.53301,16,10,8,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,2
Mountain goat recruitment: kid production and survival to breeding age,Festa-Bianchet,1989,1983,1994,Canadian Journal of Zoology,72,1,22,27,Artiodactyla,Bovidae,Oreamnos,americanus,Juvenile,54.00007,-119.59300,17,16,15,0,0,0,0,0,0,0,0,0,0,14,0,1,0,0,0,0,0,1
Mechanisms of drought-induced population decline in an endangered wallaby,Fisher,1994,1997,2001,Biological Conservation,102,1,107,115,Diprotodontia,Macropodidae,Onychogalea,fraenata,Juvenile,-22.54874,149.21706,15,6,6,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0
Mechanisms of drought-induced population decline in an endangered wallaby,Fisher,1994,1997,2001,Biological Conservation,102,1,107,115,Diprotodontia,Macropodidae,Onychogalea,fraenata,Adult,-22.54874,149.21706,55,19,13,0,0,0,0,0,0,0,0,0,0,6,2,0,5,0,0,0,0,6
A Radiotelemetric Study of Spatial Relationships in the Opossum,Fitch,1965,1967,1970,The American Midland Natrualist,84,1,170,186,Didelphimorphia,Didelphidae,Didelphis,marsupialis,Adult,39.04744,-95.19706,27,7,5,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,2
Population characteristics of the Lake Revelstoke Caribou,Flaa,1992,1998,1999,Proc Conf Biol Manage Species and Habitats at Risk,2,,639,642,Artiodactyla,Cervidae,Rangifer,tarandus,Adult,51.00000,-118.00000,60,31,25,0,0,0,0,0,0,0,0,0,0,9,0,13,3,0,0,0,0,6
"A preliminary analysis of death cause, capture-related mortality, and survival of adult red deer in northwestern Patagonia",Flueck,2001,2003,2005,Austral Ecology,15,1,23,30,Artiodactyla,Cervidae,Cervus,elaphus,Adult,-40.96630,-71.20088,37,16,14,4,3,1,0,0,0,0,0,2,0,8,0,0,0,0,0,0,0,2
"Effects of predation and forage availability on the survival of black-tailed deer in the Mendocino National Forest, California",Forrester,2009,2013,2014,Thesis: University of California Davis,,,1,134,Artiodactyla,Cervidae,Odocoileus,hemionus,Juvenile,39.69361,-122.64106,137,95,68,0,0,0,0,0,0,0,0,0,0,64,0,0,0,4,0,0,0,27
"Demographic Patterns and Limitation of Grey Wolves in and Near Pukaskwa National Park, Ontario",Forshner,1994,1998,2000,Canadian Field Naturalist,118,1,95,104,Carnivora,Canidae,Canis,lupus,Adult,48.35204,-85.81082,26,17,16,5,5,0,0,0,0,3,0,0,0,0,0,4,0,2,0,0,2,1
Use of Population Viability Analysis to Evaluate Management Options for the Endangered Lower Keys Marsh Rabbit,Forys,1991,1993,1999,The Journal of Wildlife Management,63,1,251,260,Lagomorpha,Leporidae,Sylvilagus,palustris,Adult,24.68327,-81.36666,43,27,27,1,0,1,10,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0
"Fawning Habitat of Desert Mule Deer in the Belmont and Big Horn Mountains, Arizona",Fox,1991,1991,1992,Thesis: University of Arizona,,,1,55,Artiodactyla,Cervidae,Odocoileus,hemionus,Adult,32.76979,-112.51253,9,5,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1
"Survival and movement behaviour of resident and translocated wapiti: Implications of their management in west-central Alberta, Canada",Frair,2000,2004,2005,Thesis: University of Alberta,,,1,195,Artiodactyla,Cervidae,Cervus,elaphus,Adult,53.64050,-112.86444,104,14,10,6,6,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,4
Moose Calf Mortality in Summer on the Kenai Peninsula,Franzmann,1974,1979,1980,The Journal of Wildlife Management,44,3,764,768,Artiodactyla,Cervidae,Alces,alces,Juvenile,60.31962,-150.48128,NA,54,50,0,0,0,0,0,0,0,0,0,0,46,0,4,0,0,0,0,0,4
Disappearance and Mortality Causes in Thirteen-lined Ground squirrel juveniles,Freeman,2005,2007,2016,The American Midland Natrualist,176,,130,146,Rodentia,Sciuridae,Ictidomys,tridecemlineatus,Juvenile,40.99250,-96.89730,392,49,38,0,0,0,0,0,0,0,0,3,0,35,0,0,0,0,0,0,0,11
"Dynamics, Movements, and Feeding Ecology of a Newly Protected Wolf Population in Northwestern Minnesota",Fritts,1972,1976,1981,Wildlife Monographs,80,1,3,79,Carnivora,Canidae,Canis,lupus,Adult,48.71110,-95.42682,35,16,16,8,8,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,3,0
"San Joaquin Kit Fox Home Range, habitat use, and movements in urban Bakersfield",Frost,1997,1998,2005,Thesis: Humboldt University,,,1,75,Carnivora,Canidae,Vulpes,macrotis,Adult,35.32798,-119.09971,28,2,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Wolf Population Dynamics and Prey Relationships in Northeastern Alberta,Fuller,1975,1978,1980,The Journal of Wildlife Management,44,3,583,602,Carnivora,Canidae,Canis,lupus,Adult,58.12050,-113.11128,13,2,2,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Survival and Cause-Specific Mortality Rates of Adult Bobcats,Fuller,1982,1985,1995,The American Midland Natrualist,134,2,404,408,Carnivora,Felidae,Lynx,rufus,Adult,42.46567,-73.06562,15,5,5,1,0,1,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0
Woodland Caribou Population Dynamics in Northeastern Alberta,Fuller,1976,1978,1981,The Journal of Wildlife Management,45,1,197,213,Artiodactyla,Cervidae,Rangifer,tarandus,Adult,57.51887,-112.24768,29,3,3,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0
Reproduction and Survival of Yellowstone Bison,Fuller,1995,2001,2007,The Journal of Wildlife Management,71,7,2365,2372,Artiodactyla,Bovidae,Bison,bison,Adult,44.48041,-110.65300,53,15,10,0,0,0,4,0,0,0,0,0,0,3,0,1,0,2,0,0,0,5
Population Dynamics of Wolves in North-Central Minnesota,Fuller,1980,1986,1989,Wildlife Monographs,105,1,3,41,Carnivora,Canidae,Canis,lupus,Adult,46.47516,-93.85545,81,41,37,17,17,0,4,0,0,0,0,9,2,0,1,0,0,0,0,0,4,4
Dynamics of a declining white-tailed deer population in North-central Minnesota,Fuller,1981,1986,1990,Wildlife Monographs,110,1,3,37,Artiodactyla,Cervidae,Odocoileus,virginianus,Adult,46.47516,-93.85545,143,25,24,16,14,2,0,0,0,0,0,0,0,7,0,0,1,0,0,0,0,1
Dynamics of a declining white-tailed deer population in North-central Minnesota,Fuller,1981,1986,1990,Wildlife Monographs,110,1,3,37,Artiodactyla,Cervidae,Odocoileus,virginianus,Juvenile,46.47516,-93.85545,NA,62,61,37,29,8,2,0,0,0,0,0,0,22,0,0,0,0,0,0,0,1
Variation in peccary populations: landscape composition or competition by an invader?,Gabor,1993,1995,2000,Ecology,81,9,2509,2524,Artiodactyla,Tayassuidae,Pecari,tajacu,Adult,28.31616,-99.40968,22,6,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Population Health of California Fishers,Gabriel,2006,2012,2013,Thesis: University of California Davis,,,1,147,Carnivora,Mustelidae,Martes,pennanti,Multiple,35.19666,-118.82920,232,119,101,0,0,0,3,0,0,0,0,0,0,67,31,0,0,0,0,0,0,18
"Population ecology of moose in Algonquin Provincial Park, Ontario, Canada",Garner,1990,1993,1994,Thesis: State University of New York,,,1,101,Artiodactyla,Cervidae,Alces,alces,Adult,45.77829,-78.30634,28,4,4,1,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Mortality of White-Tailed Deer Fawns in the Wichita Mountains, Oklahoma",Garner,1974,1975,1976,Proc Ann Conf SEAFWA,30,,493,506,Artiodactyla,Cervidae,Odocoileus,virginianus,Juvenile,34.79281,-98.75563,35,29,29,0,0,0,0,0,0,0,0,0,0,28,0,0,1,0,0,0,0,0
"Population ecology of moose in Algonquin Provincial Park, Ontario, Canada",Garner,1990,1993,1994,Thesis: State University of New York,,,1,101,Artiodactyla,Cervidae,Alces,alces,Juvenile,45.77829,-78.30634,47,19,18,0,0,0,0,0,0,0,0,0,0,7,1,3,7,0,0,0,0,1
Reproductive Ecology and Cub Survival of Florida Black Bears,Garrison,1999,2003,2007,The Journal of Wildlife Management,71,3,720,727,Carnivora,Ursidae,Ursus,americanus,Juvenile,29.25678,-81.78709,41,20,16,0,0,0,4,0,0,0,0,0,0,0,0,1,2,2,0,0,7,4
"Grizzly Bear Demographics in and around Banff National Park and Kananaskis Country, Alberta",Garshelis,1994,2002,2005,The Journal of Wildlife Management,69,1,277,297,Carnivora,Ursidae,Ursus,arctos,Multiple,51.00000,-115.00000,71,18,18,6,4,2,0,0,0,2,0,0,7,0,0,1,0,0,0,0,2,0
Ecology and Population Dynamics of Black Bears in Minnesota,Garshelis,2009,2010,2013,Summaries of Research Findings,,,356,362,Carnivora,Ursidae,Ursus,arctos,Adult,47.73436,-93.82487,500,283,279,229,229,0,12,0,0,0,0,9,22,0,0,0,7,0,0,0,0,4
Ecology and Population Dynamics of Black Bears in Minnesota,Garshelis,2009,2010,2013,Summaries of Research Findings,,,356,362,Carnivora,Ursidae,Ursus,arctos,Adult,46.17029,-94.43748,NA,27,25,12,12,0,8,0,0,0,0,0,2,0,0,0,3,0,0,0,0,2
Ecology and Population Dynamics of Black Bears in Minnesota,Garshelis,2009,2010,2013,Summaries of Research Findings,,,356,362,Carnivora,Ursidae,Ursus,arctos,Adult,48.37696,-92.78269,NA,21,21,15,15,0,1,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0
Ecology and Population Dynamics of Black Bears in Minnesota,Garshelis,2009,2010,2013,Summaries of Research Findings,,,356,362,Carnivora,Ursidae,Ursus,arctos,Adult,48.56910,-96.18663,NA,13,10,9,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Field immobilization and use of radio collars on long-tailed weasels,Gehring,1998,1999,2000,Wildlife Society Bulletin,28,3,579,585,Carnivora,Mustelidae,Mustela,frenata,Adult,40.28423,-87.01507,16,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
Interference competition between coyotes and raccoons: a test of the mesopredator release hypothesis,Gehrt,2000,2001,2007,Behavioral Ecology,18,1,204,214,Carnivora,Procyonidae,Procyon,lotor,Adult,42.07355,-88.26439,27,11,9,0,0,0,5,0,0,0,0,0,1,0,3,0,0,0,0,0,0,2
Seasonal Survival and Cause-Specific Mortality of Urban and Striped Skunks in the Absence of Rabies,Gehrt,1998,2001,2005,Journal of Mammalogy,86,6,1164,1170,Carnivora,Mephitidae,Mephitis,mephitis,Adult,42.04117,-88.00676,73,30,28,0,0,0,9,0,0,0,0,0,1,1,17,0,0,0,0,0,0,2
Survivorship of a Nonharvested Raccoon Population in South Texas,Gehrt,1990,1993,1999,The Journal of Wildlife Management,63,3,63,3,Carnivora,Procyonidae,Procyon,lotor,Multiple,28.12014,-97.44274,74,21,18,3,0,3,1,0,0,0,0,0,0,5,8,0,0,1,0,0,0,3
"Ecology of mule deer on the Pinon Canyon Maneuver Site, Colorado",Gerlach,1983,1984,1987,Thesis: Virginia Polytechnic Institute and State University,,,1,60,Artiodactyla,Cervidae,Odocoileus,hemionus,Juvenile,37.49668,-104.15544,28,17,17,0,0,0,0,0,0,0,0,0,0,13,0,0,0,4,0,0,0,0
"Ecology of mule deer on the Pinon Canyon Maneuver Site, Colorado",Gerlach,1983,1984,1987,Thesis: Virginia Polytechnic Institute and State University,,,1,60,Artiodactyla,Cervidae,Odocoileus,hemionus,Adult,37.49668,-104.15544,38,3,3,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
Population Dynamics of Coyotes in Southeastern Colorado,Gese,1983,1986,1989,The Journal of Wildlife Management,53,1,174,181,Carnivora,Canidae,Canis,latrans,Multiple,37.49668,-104.15544,88,31,31,3,3,0,4,2,0,0,0,0,16,0,0,0,6,0,0,0,0,0
"Ecology, habitat use, and winter thermal dynamics of snowshoe hares in Pennsylvania",Gigliotti,2014,2015,2016,Thesis: Pennsylvania State University,,,1,89,Lagomorpha,Leporidae,Lepus,americanus,Adult,41.02939,-75.42102,69,30,30,3,3,0,0,0,0,0,0,0,0,22,0,0,5,0,0,0,0,0
The summer decline of the collared lemming in high arctic Greenland,Gilg,1998,2000,2002,Oikos,99,3,499,510,Rodentia,Cricetidae,Dicrostonyx,groenlandicus,Adult,72.59604,-22.96814,104,23,23,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0
Survival of juvenile hares during a cyclic population increase,Gillis,1995,1996,1998,Canadian Journal of Zoology,76,10,1949,1955,Lagomorpha,Leporidae,Lepus,americanus,Juvenile,60.95005,-138.20067,86,44,40,1,1,0,0,0,0,0,0,0,0,37,0,0,2,0,0,0,0,4
Spatial and temporal patterns in whte-tailed deer fawn survival and cause-specific mortality,Gingery,2015,2016,2018,Thesis: Pennsylvania State University,,,1,122,Artiodactyla,Cervidae,Odocoileus,virginianus,Juvenile,40.71072,-77.74635,43,10,9,2,2,0,1,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1
Spatial and temporal patterns in whte-tailed deer fawn survival and cause-specific mortality,Gingery,2015,2016,2018,Thesis: Pennsylvania State University,,,1,122,Artiodactyla,Cervidae,Odocoileus,virginianus,Juvenile,41.50346,-77.67653,55,22,21,1,1,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,1
Survival and home ranges of opossums in northeastern Kansas,Gipson,1996,1999,2001,The Southwestern Naturalist,46,2,178,182,Didelphimorphia,Didelphidae,Didelphis,virginiana,Adult,39.11027,-96.81084,20,17,14,0,0,0,2,0,0,0,0,1,0,11,0,0,0,0,0,0,0,3
Survival and movements of orphaned white-tailed deer fawns in Texas,Giuliano,1985,1986,1999,The Journal of Wildlife Management,63,2,570,574,Artiodactyla,Cervidae,Odocoileus,virginianus,Juvenile,28.26395,-99.59537,10,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
Ecology of bobcats on land managed for northern bobwhite in southwestern Georgia,Godbois,2001,2002,2003,Thesis: University of Georgia,,,1,94,Carnivora,Felidae,Lynx,rufus,Adult,31.24896,-84.37628,27,5,5,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Resource Selection and Predation of North American Red Squirrels in Deciduous Forest Fragments,Goheen,2000,2001,2005,Journal of Mammalogy,86,1,22,28,Rodentia,Sciuridae,Tamiasciurus,hudsonicus,Adult,40.24748,-86.83170,84,19,19,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,2,0,0,0
Survival and Cause-specific Mortality of a Protected Population of River Otters in Minnesota,Gorman,2002,2004,2008,The American Midland Natrualist,159,1,98,109,Carnivora,Mustelidae,Lontra,canadensis,Adult,43.95329,-91.52938,39,5,5,0,0,0,1,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0
Survival and Cause-specific Mortality of a Protected Population of River Otters in Minnesota,Gorman,2002,2004,2008,The American Midland Natrualist,159,1,98,109,Carnivora,Mustelidae,Lontra,canadensis,Juvenile,43.95329,-91.52938,NA,4,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1
Survival and Cause-Specific Mortality of Red Foxes in Agricultural and Urban Areas of Illinois,Gosselink,1996,2002,2007,The Journal of Wildlife Management,71,6,1862,1873,Carnivora,Canidae,Vulpes,vulpes,Multiple,40.21952,-88.11585,335,231,231,14,10,4,82,1,10,2,0,0,0,58,62,0,0,0,0,2,0,0
Population and Movement Characteristics of radio-collared striped skunks in North Dakota during an epizootic of rabies,Greenwood,1991,1992,1997,Journal of Wildlife Diseases,33,2,226,241,Carnivora,Mephitidae,Mephitis,mephitis,Adult,47.22022,-98.83251,79,39,35,1,1,0,1,0,0,0,0,0,0,9,24,0,0,0,0,0,0,4
Birth Synchrony and Survival of Pronghorn Fawns,Gregg,1996,1997,2001,The Journal of Wildlife Management,65,1,19,24,Artiodactyla,Antilocapridae,Antilocapra,americana,Juvenile,42.53196,-119.63462,104,87,79,0,0,0,0,0,0,0,0,0,0,75,2,0,0,2,0,0,0,8
Demography and ecology of a declining endemic: The Olympic marmot,Griffin,2002,2006,2008,Thesis: University of Montana,,,1,190,Rodentia,Sciuridae,Marmota,olympus,Adult,47.81202,-123.56281,101,32,29,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,3
Mortality by moonlight: predation risk and the snowshoe hare,Griffin,2000,2001,2005,Behavioral Ecology,16,5,938,944,Lagomorpha,Leporidae,Lepus,americanus,Adult,47.19201,-113.44621,177,115,112,0,0,0,0,0,0,0,0,0,0,112,0,0,0,0,0,0,0,3
Assessing timing and causes of neonatal lamb losses in a bighorn sheep herd via use of vaginal implant transmitters,Grigg,2013,2013,2017,Journal of Wildlife Diseases,53,3,596,601,Artiodactyla,Bovidae,Ovis,canadensis,Juvenile,39.08539,-106.17883,15,12,12,0,0,0,0,0,0,0,0,0,0,1,10,1,0,0,0,0,0,0
"Raccoon use of the urban matrix in the Baltimore Metropolitan Area, Maryland",Gross,2006,2007,2011,Urban Ecosystems,15,3,667,682,Carnivora,Procyonidae,Procyon,lotor,Multiple,39.15312,-76.52200,43,16,15,2,2,0,9,0,0,0,0,0,0,0,3,1,0,0,0,0,0,1
Survival of White-Tailed Deer Neonates in Minnesota and South Dakota,Grovenburg,2002,2004,2011,The Journal of Wildlife Management,75,1,213,220,Artiodactyla,Cervidae,Odocoileus,virginianus,Juvenile,44.39006,-96.21343,78,15,15,0,0,0,0,0,0,0,0,0,0,12,0,0,0,3,0,0,0,0
