Title,Author,Start Date,End Date,Publication Year,Source,Volume,Issue,Beg page,End page,Order,Family,Genus,Species,Age,Latitude,Longitude,Number tracked,Total Mortality,Known Mortality,Total Harvest,Legal Harvest,Illegal Harvest,Vehicle,Fence,Electrocution,Wind Turbine,Powerline,Other Human,Predation,Disease,Accident/Injury,Starvation,Other Natural,Unknown
Hunting impact on the population dynamics of Pyrenean grey pratridge,Besnard,1992,2001,2010,Wildlife Biology,16,2,135,143,Galliformes,Phasianidae,Perdix,perdix,Adult,42.51654,1.90948,67,49,49,11,11,0,0,2,0,0,0,0,35,0,0,1,0,0
Wild Turkey Survival in Southeastern Oklahoma,Bidwell,1983,1984,1988,Proc Okla Acad Sci,68,,59,61,Galliformes,Phasianidae,Meleagris,gallopavo,Adult,34.28190,-94.60672,45,19,9,0,0,0,0,0,0,0,0,0,9,0,0,0,0,10
Survival and Cause-Specific Mortality of Adult Female Mottled Ducks in East-Central Florida,Bielefeld,1999,2002,2006,Wildlife Society Bulletin,34,2,388,394,Anseriformes,Anatidae,Anas,fulvigula,Adult,28.05958,-80.78387,101,34,30,5,5,0,1,0,0,0,0,0,24,0,0,0,0,4
Intraseasonal variation in survival and probable causes of mortality in greater sage-grouse ,Blomberg,2008,2012,2013,Wildlife Biology,19,4,347,357,Galliformes,Phasianidae,Centrocerus,urophasianus,Juvenile,40.25007,-116.49365,74,27,26,1,1,0,0,0,0,0,0,0,25,0,0,0,0,1
Intraseasonal variation in survival and probable causes of mortality in greater sage-grouse ,Blomberg,2008,2012,2013,Wildlife Biology,19,4,347,357,Galliformes,Phasianidae,Centrocerus,urophasianus,Adult,40.25007,-116.49365,262,60,57,4,4,0,0,0,0,0,0,0,53,0,0,0,0,3
Factors affecting Loggerhead Shrike Mortality in Virginia,Blumton,1987,1988,1989,Thesis: Virginia Polytechnic and State University,,,1,85,Passeriformes,Laniidae,Lanius,ludovicianus,Juvenile,38.24601,-79.39059,25,14,12,0,0,0,4,0,0,0,0,0,8,0,0,0,0,2
Effects of Organophosphorous Insecticides on sage grouse in southeastern Idaho,Blus,1985,1986,1989,The Journal of Wildlife Management,53,4,1139,1146,Galliformes,Phasianidae,Centrocerus,urophasianus,Multiple,43.79283,-112.08628,82,39,38,0,0,0,0,0,0,0,0,31,7,0,0,0,0,1
Variation in Breeding Season Survival of Female Harlequin Ducks,Bond,1997,2004,2009,The Journal of Wildlife Management,73,6,965,972,Anseriformes,Anatidae,Histrionicus,histrionicus,Adult,51.49667,-115.92696,144,15,15,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0
"Survival rates and causes of mortality in black grouse at Lake Vyrnwy, North Wales, UK",Bowker,1999,2003,2007,Wildlife Biology,13,3,231,237,Galliformes,Phasianidae,Tetrao,tetrix,Multiple,52.78190,-3.47590,33,31,30,2,2,0,0,0,0,0,0,0,28,0,0,0,0,1
"Brood Break-up, Dispersal, Mobility and Mortality of Juvenile Prairie Chickens",Bowman,1964,1970,1977,The Journal of Wildlife Management,41,1,27,34,Galliformes,Phasianidae,Tympanuchus,cupido,Juvenile,39.00081,-96.42571,24,8,8,1,1,0,0,0,0,0,0,0,7,0,0,0,0,0
