Title,Author,Start Date,End Date,Publication Year,Source,Volume,Issue,Beg page,End page,Order,Family,Genus,Species,Age,Latitude,Longitude,Number tracked,Total Mortality,Known Mortality,Total Harvest,Legal Harvest,Illegal Harvest,Vehicle,Fence,Electrocution,Wind Turbine,Powerline,Other Human,Predation,Disease,Accident/Injury,Starvation,Other Natural,Unknown
Population ecology of and the effects of hunting on ruffed grouse in the southern and central Appalachians,Devers,1998,2000,2005,Thesis: Virginia Polytechnic and State University,,,1,195,Galliformes,Phasianidae,Bonasa,umbellus,Adult,35.06156,-83.53335,3118,45,42,5,5,0,0,0,0,0,0,0,37,0,0,0,0,3
Population dynamics and habitat selection of eastern wild turkeys in the southern pinelands of New Jersey,Devlin,1995,1996,1997,Thesis: Rutgers University,,,1,94,Galliformes,Phasianidae,Meleagris,gallopavo,Multiple,39.28556,-74.78099,65,25,25,0,0,0,1,0,0,0,0,0,23,0,0,1,0,0
Effects of Supplemental Food on Parental-Care Strategies and Juvenile Survival of Northern Goshawks,Dewey,1996,1997,2001,Auk,118,2,352,365,Accipitriformes,Accipitridae,Accipiter,gentilis,Juvenile,40.88306,-109.29382,70,10,6,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4
Survival and behavior of juvenile black-capped vireos,Dittmar,2010,2013,2016,Wilson Journal of Ornithology,128,4,775,783,Passeriformes,Vireonidae,Vireo,atricapilla,Juvenile,31.24267,-97.71031,71,7,7,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0
Factors influencing ruffed grouse productivity and chick survival in West Virginia,Dobony,1998,1999,2000,Thesis: West Virginia University,,,1,97,Galliformes,Phasianidae,Bonasa,umbellus,Juvenile,38.78014,-80.00903,68,26,26,0,0,0,0,0,0,0,0,0,21,0,0,0,5,0
Assessment of Northern Bobwhite Survival and Fitness in the West Gulf Coastal Plain ecoregion,Doggett,2013,2014,2018,Plos One,13,7,1,21,Galliformes,Odontophoridae,Colinus,virginianus,Adult,33.14820,-92.06153,31,12,12,0,0,0,0,0,0,0,0,0,11,0,0,0,1,0
"Effects of hunting season structure, weather and body condition on overwintering mallard survival",Dooley,2005,2008,2010,Wildlife Biology,16,4,357,366,Anseriformes,Anatidae,Anas,platyrhynchos,Adult,40.32826,-103.71827,235,64,64,43,43,0,0,0,0,0,0,0,0,0,0,0,21,0
Mortality of parental mountain plovers (Charadrius montanus) during the post-hatching stage,Dreitz,2004,2006,2010,Avian Conservation and Ecology,5,1,4,,Charadriiformes,Charadriidae,Charadrius,montanus,Adult,36.98338,-102.03314,153,11,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,5
"Seasonal Movements of Sandhill Cranes Radiomarked in Yellowstone National Park and Jackson Hole, Wyoming",Drewen,1984,1986,1999,The Journal of Wildlife Management,63,1,126,136,Gruiformes,Gruidae,Grus,canadensis,Adult,33.80642,-106.89224,9,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Population dynamics of mallards breeding in eastern Washington,Dugger,2006,2007,2016,The Journal of Wildlife Management,80,3,500,509,Anseriformes,Anatidae,Anas,platyrhynchos,Adult,47.21831,-119.01959,80,5,3,0,0,0,0,0,0,0,0,1,2,0,0,0,0,2
"Post-fledging habitat selection in a rapidly declining farmland bird, the European Turtle Dove",Dunn,2014,2014,2016,Bird Conservation International,27,1,45,57,Columbiformes,Columbidae,Streptopelia,turtur,Juvenile,51.83494,0.66863,15,4,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
Factors affecting population dynamics of Eurasion woodcocks wintering in France: assessing the efficiency of a hunting-free reserve,Duriez,1999,2002,2005,Biological Conservation,122,1,89,97,Charadriiformes,Scolopacidae,Scolopax,rusticola,Adult,48.49998,-3.46641,35,10,4,1,1,0,0,0,0,0,0,0,3,0,0,0,0,6
Factors affecting population dynamics of Eurasion woodcocks wintering in France: assessing the efficiency of a hunting-free reserve,Duriez,1999,2002,2005,Biological Conservation,122,1,89,97,Charadriiformes,Scolopacidae,Scolopax,rusticola,Juvenile,48.49998,-3.46641,63,29,18,11,11,0,0,0,0,0,0,0,7,0,0,0,0,11
Effects of weather and projected impacts of climate change on adult and juvenile survival in a song sparro (Melospiza melodia) population,Dybala,2008,2010,2012,Thesis: University of Califorina Davis,,,1,78,Galliformes,Phasianidae,Melospiza,melodia,Juvenile,38.02191,-122.80216,67,41,26,0,0,0,0,0,0,0,0,0,24,0,0,2,0,15
"Post-fledging movements, home range, and survival of juvenile Eurasian collared-doves in western France",Eraud,2001,2002,2011,Condor,113,1,150,158,Columbiformes,Columbidae,Streptopelia,decaocto,Juvenile,46.10018,-0.49925,41,15,13,0,0,0,0,0,0,0,2,0,9,0,0,1,1,2
Survival of radio-marked mallards in relation to management of avian botulism,Evelsizer,1999,2001,2010,Journal of Wildlife Diseases,46,3,864,877,Anseriformes,Anatidae,Anas,platyrhynchos,Adult,50.79607,-106.15520,149,141,134,0,0,0,0,0,0,0,0,0,14,120,0,0,0,7
Post-fledging survival of blue-fronted parrots,Faegre,2007,2007,2014,Ornithologica Neotropical,25,,55,61,Psittaciformes,Psittacidae,Amazona,aestiva,Juvenile,-25.46326,-61.90142,18,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Post-fledging dispersal, habitat use, and survival of Sprague's pipits: Are planted grasslands a good substitute for native?",Fisher,2004,2008,2011,Biological Conservation,144,1,263,271,Passeriformes,Motacillidae,Anthus,spragueii,Juvenile,51.42440,-105.16020,95,20,20,0,0,0,0,0,0,0,0,0,15,0,0,5,0,0
Losses of the eastern wild turkey from a stable Alabama population,Fleming,1971,1972,1976,Proc Ann Conf SEAFWA,30,,377,385,Galliformes,Phasianidae,Meleagris,gallopavo,Multiple,32.66293,-85.42994,15,4,4,2,0,2,0,0,0,0,0,0,0,0,0,0,2,0
Flightless and post-molt survival and movements of female mallards in Klamanth basin,Fleskes,2001,2007,2010,Waterbirds,33,2,208,220,Anseriformes,Anatidae,Anas,platyrhynchos,Adult,41.94575,-121.69358,181,103,83,22,22,0,0,0,0,0,0,0,18,43,0,0,0,20
"Pintail and Mallard Survival in California Relative to Habitat, Abundance, and Hunting",Fleskes,1987,2000,2007,The Journal of Wildlife Management,71,7,2238,2248,Anseriformes,Anatidae,Anas,platyrhynchos,Adult,39.29736,-122.09434,291,65,62,59,59,0,0,0,0,0,1,0,2,0,0,0,0,3
"Pintail and Mallard Survival in California Relative to Habitat, Abundance, and Hunting",Fleskes,1987,2000,2007,The Journal of Wildlife Management,71,7,2238,2248,Anseriformes,Anatidae,Anas,Acuta,Adult,39.29736,-122.09434,885,109,106,79,79,0,0,0,0,0,1,0,17,9,0,0,0,3
Predators of Dusky Canada Goose goslings and the effect of transmitters on gosling survival,Fondell,1997,1999,2008,Journal of Field Ornithology,79,4,399,407,Anseriformes,Anatidae,Branta,canadensis,Juvenile,62.13841,-143.81255,186,84,84,0,0,0,0,0,0,0,0,0,81,0,0,0,3,0
"Natal dispersal, habitat selection and mortality of North Island Brown Kiwi (Apteryx mantelli) at the Moehau Kiwi Sanctuary, Coromandel",Forbes,2001,2008,2009,Thesis: Auckland University of Technology,,,1,138,Apterygiformes,Apterygidae,Apteryx,mantelli,Adult,-36.54140,175.39897,93,13,11,0,0,0,0,0,0,0,0,1,8,0,0,0,2,2
"Natal dispersal, habitat selection and mortality of North Island Brown Kiwi (Apteryx mantelli) at the Moehau Kiwi Sanctuary, Coromandel",Forbes,2001,2008,2009,Thesis: Auckland University of Technology,,,1,138,Apterygiformes,Apterygidae,Apteryx,mantelli,Juvenile,-36.54140,175.39897,110,8,7,0,0,0,1,0,0,0,0,0,4,0,0,0,2,1
"Natal dispersal, habitat selection and mortality of North Island Brown Kiwi (Apteryx mantelli) at the Moehau Kiwi Sanctuary, Coromandel",Forbes,2001,2008,2009,Thesis: Auckland University of Technology,,,1,138,Apterygiformes,Apterygidae,Apteryx,mantelli,Juvenile,-36.54140,175.39897,162,51,46,0,0,0,0,0,0,0,0,0,43,1,0,0,2,5
Natal and breeding dispersal of northern spotted owls,Forsman,1985,1996,2002,Wildlife Monographs,149,1,1,35,Strigiformes,Strigidae,Strix,occidentalis,Juvenile,44.64752,-122.46513,324,122,122,0,0,0,4,0,0,0,0,0,83,0,3,32,0,0
Survival and Reproduction of Radio-Marked Adult Spotted Owls,Foster,1985,1989,1992,The Journal of Wildlife Management,56,1,91,95,Strigiformes,Strigidae,Strix,occidentalis,Adult,47.46850,-123.47417,399,43,21,1,0,1,2,0,0,0,0,0,15,0,0,3,0,22
Effects of Dieldrin on Great Horned Owls at the Rocky Mountain Arsenal National Wildlife Refuge,Frank,1994,1996,1997,Thesis: University of Wisconsin-Madison,,,1,75,Strigiformes,Strigidae,Bubo,virginianus,Adult,39.81551,-104.88289,20,10,4,0,0,0,0,0,1,0,0,2,0,0,1,0,0,6
Effects of Dieldrin on Great Horned Owls at the Rocky Mountain Arsenal National Wildlife Refuge,Frank,1994,1996,1997,Thesis: University of Wisconsin-Madison,,,1,75,Strigiformes,Strigidae,Bubo,virginianus,Juvenile,39.81551,-104.88289,55,16,15,0,0,0,0,0,5,0,3,1,0,1,2,0,3,1
Comparative habitat use of sympatric Mexican spotted and great horned owls,Ganey,1990,1993,1997,Journal of Wildlife Research,2,2,115,123,Strigiformes,Strigidae,Strix,occidentalis,Adult,34.83597,-111.57224,13,4,3,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1
Dispersal movements and survival rates of juvenile mexican spotted owls in Northern Arizona,Ganey,1994,1995,1998,Wilson Bulletin,110,2,206,217,Strigiformes,Strigidae,Strix,occidentalis,Juvenile,35.00254,-111.67973,19,9,9,0,0,0,0,0,0,0,0,0,5,0,0,4,0,0
"Home range, habitat use, survival and fecundity of Mexican spotted owls in the Sacramento Mountains, New Mexico",Ganey,1992,1994,2005,The Southwestern Naturalist,50,3,323,333,Strigiformes,Strigidae,Strix,occidentalis,Adult,32.88729,-105.68919,15,6,6,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0
Habitat Preference and Survival for western meadowlark fledglings in a contiguous prairie system,Giovanni,2006,2007,2015,Wilson Journal of Ornithology,127,2,200,211,Passeriformes,Icteridae,Sturnella,neglecta,Juvenile,42.06667,-101.44942,46,23,10,0,0,0,0,0,0,0,0,2,8,0,0,0,0,13
Survival Rates of Radio-equipped Wild Turkey Gobblers in East-central Mississippi,Godwin,1986,1990,1991,Proc Ann Conf SEAFWA,45,,218,226,Galliformes,Phasianidae,Meleagris,gallopavo,Adult,32.20801,-89.28349,130,81,66,65,65,0,0,0,0,0,0,0,0,1,0,0,0,15
"Survival and nesting ecology of scaled quail in the Trans-Pecos, Texas",Gonzalez Gonzalez,2017,2012,2013,National Quail Proceedings,8,,395,400,Galliformes,Odontophoridae,Callipepla,squamata,Adult,30.88177,-104.64480,164,28,20,0,0,0,0,0,0,0,0,2,18,0,0,0,0,8
Determinants of parental care and offspring survival during the post-fledging period: males care more in a species with partially reversed sex roles,Gow,2010,2012,2014,Oceologica,175,,95,104,Piciformes,Picidae,Colaptes,auratus,Juvenile,51.86725,-122.34708,38,17,17,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0
Use of Implanted Radiotransmitters to Estimate Survival of Greater Sage-Grouse Chicks,Gregg,2001,2002,2007,The Journal of Wildlife Management,71,2,646,651,Galliformes,Phasianidae,Centrocerus,urophasianus,Juvenile,42.54956,-119.65290,286,212,199,0,0,0,0,0,0,0,0,0,174,0,0,25,0,13
Causes of mortality and temporal patterns in breeding season survival of lesser prairie-chickens in shinnery oak prairies,Grisham,2008,2011,2015,Wildlife Society Bulletin,39,3,536,542,Galliformes,Phasianidae,Tympanuchus,pallidicinctus,Adult,33.36665,-102.81573,113,42,32,0,0,0,0,0,0,0,0,0,32,0,0,0,0,10
"Declining Ring-necked pheasants in the Klamath Basin, California: Survival, Productivity, and Cover",Grove,1990,1992,2001,The Northwestern Naturalist,82,3,85,101,Galliformes,Phasianidae,Phasianus,colchicus,Adult,41.94927,-121.71209,50,25,25,0,0,0,0,0,0,0,0,1,18,1,0,0,5,0
"Declining Ring-necked pheasants in the Klamath Basin, California: Survival, Productivity, and Cover",Grove,1990,1992,2001,The Northwestern Naturalist,82,3,85,101,Galliformes,Phasianidae,Phasianus,colchicus,Adult,41.88230,-121.47552,81,45,45,0,0,0,1,0,0,0,0,0,38,1,0,0,5,0
Survival Benefits of post-fledging care: experimental approach to a critical part of avian reproduction strategies,Gruebler,2002,2003,2010,Journal of Animal Ecology,79,2,334,341,Passeriformes,Hirundinidae,Hirundo,rustica,Juvenile,47.17064,8.04363,223,20,20,0,0,0,1,0,0,0,0,0,18,0,1,0,0,0
"Autumn and winter movements and mortality of willow ptarmigan at Chilkat Pass, British Columbia",Gruys,1987,1988,1991,Thesis: University of Alberta,,,1,182,Galliformes,Phasianidae,Lagopus,lagopus,Adult,59.79190,-136.48676,432,34,27,0,0,0,0,0,0,0,0,0,27,0,0,0,0,7
The Effects of a Large-Scale Wind Farm in Breeding Season Survival of Female Mallards and Blue-Winged Teal in the Prairie Pothole Region,Gue,2009,2010,2013,The Journal of Wildlife Management,77,7,1360,1371,Anseriformes,Anatidae,Anas,platyrhynchos,Adult,45.93865,-99.00700,77,23,17,0,0,0,0,0,0,1,1,1,13,0,0,0,1,6
The Effects of a Large-Scale Wind Farm in Breeding Season Survival of Female Mallards and Blue-Winged Teal in the Prairie Pothole Region,Gue,2009,2010,2013,The Journal of Wildlife Management,77,7,1360,1371,Anseriformes,Anatidae,Anas,discors,Adult,45.93865,-99.00700,88,23,23,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0
Effects of Feeders on Dispersion and Mortality of Bobwhites,Guthery,2000,2003,2004,Wildlife Society Bulletin,32,4,1248,1254,Galliformes,Odontophoridae,Colinus,virginianus,Mulitple,35.88931,-101.03082,63,33,21,0,0,0,0,0,0,0,0,0,21,0,0,0,0,12
Post-breeding season habitat use and movements of eastern meadowlarks in southwestern wisconsin,Guzy,2002,2004,2007,Wilson Journal of Ornithology,119,2,198,204,Passeriformes,Icteridae,Sturnella,magna,Juvenile,42.84487,-89.58859,72,12,11,0,0,0,0,0,0,0,0,0,10,0,1,0,0,1
Age-Specific Survival and Probable Causes of Mortality in Female Lesser Prairie-Chickens,Hagen,1997,2003,2007,The Journal of Wildlife Management,71,2,518,525,Galliformes,Phasianidae,Tympanuchus,pallidicinctus,Adult,37.94637,-100.89118,227,92,92,1,1,0,0,0,0,0,4,1,84,2,0,0,0,0
Effects of Road Baiting on Home Range and Survival of Northern Bobwhites in Southern Texas,Haines,2001,2003,2004,Wildlife Society Bulletin,32,2,401,411,Galliformes,Odontophoridae,Colinus,virginianus,Mulitple,27.31028,-98.55651,58,19,19,8,8,0,0,0,0,0,0,0,11,0,0,0,0,0
Survival of Hatching-Year Female Canvasbacks Wintering on Chesapeake Bay,Haramis,1987,1989,1993,The Journal of Wildlife Management,57,4,763,771,Anseriformes,Anatidae,Aythya,valisineria,Juvenile,38.86253,-76.54197,248,17,17,8,8,0,0,0,0,1,0,1,7,0,0,0,0,0
Movements and Resource Selection of Fledgling Goshawks in Montane Forests of Southeastern British Columbia,Harrower,2004,2006,2010,The Journal of Wildlife Management,74,8,1768,1775,Accipitriformes,Accipitridae,Accipiter,gentilis,Juvenile,49.81670,-115.95441,31,8,8,0,0,0,0,0,0,0,0,0,7,0,0,1,0,0
Sources of variation in survival of breeding female wood ducks,Hartke,1999,2000,2006,Condor,108,1,201,210,Anseriformes,Anatidae,Aix,sponsa,Adult,31.99642,-85.09389,62,8,8,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0
"Ecology of Boreal owls in the Northern Rocky Mountains, USA",Hayward,1984,1988,1993,Wildlife Monographs,124,1,3,59,Strigiformes,Strigidae,Aegolius,funereus,Adult,45.08175,-114.96449,24,6,5,0,0,0,0,0,0,0,0,0,3,0,0,2,0,1
"Analyses of greater sage-grouse (Centrocerus urophasianus) translocation release methods and chick survival in Strawberry Valley, Utah",Hennefer,2006,2006,2007,Thesis: Brigham Young University,,,1,45,Galliformes,Phasianidae,Centrocerus,urophasianus,Juvenile,40.41222,-111.18923,42,9,9,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0
Effects of Hurricane Bret on Northern Bobwhite Survival in South Texas,Hernandez,1999,1999,2002,Quail V: Proceedings of the Fifth National Quail Symposium,,,87,90,Galliformes,Odontophoridae,Colinus,virginianus,Adult,27.07626,-98.26105,82,11,11,0,0,0,0,0,0,0,0,0,7,0,0,0,4,0
"Demographics of breeding female mallards in southern Ontario, Canada",Hoekman,1997,2000,2006,The Journal of Wildlife Management,70,1,111,120,Anseriformes,Anatidae,Anas,platyrhynchos,Adult,43.88040,-79.75759,224,45,44,0,0,0,0,0,0,0,0,7,37,0,0,0,0,1
Winter Survival of Immature Canvasbacks in Inland Louisiana,Hohman,1988,1991,1995,The Journal of Wildlife Management,59,2,384,392,Anseriformes,Anatidae,Aythya,valisineria,Juvenile,31.49345,-92.08754,172,32,17,10,10,0,0,0,0,0,0,5,0,0,2,0,0,15
"Survival, habitat use, and nest-site  characteristics of wild turkeys in central Mississippi",Holder,2000,2000,2006,Thesis: Mississippi State University,,,1,104,Galliformes,Phasianidae,Meleagris,gallopavo,Adult,33.69968,-90.09524,74,30,28,9,7,2,0,0,0,0,0,0,19,0,0,0,0,2
Male Rio Grande Turkey Survival and Movements in the Texas Panhandle and Southwestern Kansas,Holdstock,2000,2002,2006,The Journal of Wildlife Management,70,4,904,913,Galliformes,Phasianidae,Meleagris,gallopavo,Juvenile,37.12381,-101.79052,6,6,6,2,2,0,0,0,0,0,0,0,0,0,0,0,4,0
Male Rio Grande Turkey Survival and Movements in the Texas Panhandle and Southwestern Kansas,Holdstock,2000,2002,2006,The Journal of Wildlife Management,70,4,904,913,Galliformes,Phasianidae,Meleagris,gallopavo,Juvenile,35.15711,-101.35203,22,13,13,3,3,0,0,0,0,0,0,0,0,0,0,0,10,0
Male Rio Grande Turkey Survival and Movements in the Texas Panhandle and Southwestern Kansas,Holdstock,2000,2002,2006,The Journal of Wildlife Management,70,4,904,913,Galliformes,Phasianidae,Meleagris,gallopavo,Adult,37.12381,-101.79052,24,11,11,2,2,0,0,0,0,0,0,0,0,0,0,0,9,0
Male Rio Grande Turkey Survival and Movements in the Texas Panhandle and Southwestern Kansas,Holdstock,2000,2002,2006,The Journal of Wildlife Management,70,4,904,913,Galliformes,Phasianidae,Meleagris,gallopavo,Juvenile,36.17954,-100.25908,25,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0
Male Rio Grande Turkey Survival and Movements in the Texas Panhandle and Southwestern Kansas,Holdstock,2000,2002,2006,The Journal of Wildlife Management,70,4,904,913,Galliformes,Phasianidae,Meleagris,gallopavo,Juvenile,34.15846,-100.41942,36,14,14,2,2,0,0,0,0,0,0,0,0,0,0,0,12,0
Male Rio Grande Turkey Survival and Movements in the Texas Panhandle and Southwestern Kansas,Holdstock,2000,2002,2006,The Journal of Wildlife Management,70,4,904,913,Galliformes,Phasianidae,Meleagris,gallopavo,Adult,35.15711,-101.35203,46,30,30,6,6,0,0,0,0,0,0,0,0,0,0,0,24,0
Male Rio Grande Turkey Survival and Movements in the Texas Panhandle and Southwestern Kansas,Holdstock,2000,2002,2006,The Journal of Wildlife Management,70,4,904,913,Galliformes,Phasianidae,Meleagris,gallopavo,Adult,34.15846,-100.41942,49,27,27,4,4,0,0,0,0,0,0,0,0,0,0,0,23,0
Male Rio Grande Turkey Survival and Movements in the Texas Panhandle and Southwestern Kansas,Holdstock,2000,2002,2006,The Journal of Wildlife Management,70,4,904,913,Galliformes,Phasianidae,Meleagris,gallopavo,Adult,36.17954,-100.25908,50,25,25,6,6,0,1,0,0,0,0,0,0,0,0,0,18,0
Winter habitat use and survival of female ring-necked pheasants in Southeastern North Dakota,Homan,1992,1995,2000,The American Midland Naturalist,143,2,463,480,Galliformes,Phasianidae,Phasianus,colchicus,Multiple,46.65360,-98.69834,100,41,33,0,0,0,0,0,0,0,0,0,31,0,2,0,0,8
Postfledging Survival of grasshopper sparrows in grasslands managed with fire and grazing,Hovick,2009,2009,2011,Condor,113,2,429,437,Passeriformes,Emberizidae,Ammodramus,savannarum,Juvenile,40.66845,-94.16565,50,35,29,0,0,0,0,0,0,0,0,1,17,0,0,11,0,6
Wild Turkey Poult Survival in Southcentral Iowa,Hubbard,1994,1997,1999,The Journal of Wildlife Management,63,1,199,203,Galliformes,Phasianidae,Meleagris,gallopavo,Juvenile,41.06768,-93.53909,103,44,44,0,0,0,0,0,0,0,0,0,42,0,0,0,2,0
Factors Influencing Wild Turkey Hen Survival in Southcentral Iowa,Hubbard,1993,1996,1999,The Journal of Wildlife Management,63,2,731,738,Galliformes,Phasianidae,Meleagris,gallopavo,Adult,41.06768,-93.53909,126,55,51,2,1,1,1,0,0,0,0,0,42,2,0,0,4,4
Survival and Cause-Specific Mortality of Wild Turkeys in Northern Indiana,Humberg,2003,2005,2006,The American Midland Naturalist,161,2,313,322,Galliformes,Phasianidae,Meleagris,gallopavo,Multiple,40.73859,-86.00167,130,35,23,12,12,0,0,0,0,0,0,0,10,0,1,0,0,12
"Natal dispersal behavior and survival of Scottish red grouse, Lagopus lagopus scoticus",Hurley,1991,1994,2000,Thesis: Princeton University,,,1,104,Galliformes,Phasianidae,Lagopus,lagopus,Juvenile,57.04753,-4.01632,56,36,34,0,0,0,0,0,0,0,1,0,33,0,0,0,0,2
"Natal dispersal behavior and survival of Scottish red grouse, Lagopus lagopus scoticus",Hurley,1991,1994,2000,Thesis: Princeton University,,,1,104,Galliformes,Phasianidae,Lagopus,lagopus,Juvenile,56.96153,-4.34385,77,56,54,9,9,0,0,0,0,0,4,0,41,0,0,0,0,2
Reproductive ecology and survival of eastern wild turkey hens in a managed longleaf pine system in southeastern Mississippi,Inglis,1999,2000,2001,Thesis: Mississippi State University,,,1,77,Galliformes,Phasianidae,Meleagris,gallopavo,Multiple,31.07557,-89.02396,71,35,28,4,0,4,0,0,0,0,0,0,24,0,0,0,0,7
Habitat near nest boxes correlated with fate of eastern bluebird fledglings in an urban landscape,Jackson,2008,2009,2013,Urban Ecosystems,16,2,367,376,Passeriformes,Turdidae,Sialia,sialis,Juvenile,37.26045,-76.68909,156,26,25,0,0,0,0,0,0,0,1,0,24,0,0,0,0,1
"Lesser prairie-chicken chick survival, adult survival, and habitat selection and movements of males in fragmented rangelands of southwestern Kansas",Jamison,1997,1999,2000,Thesis: Kansas State University,,,1,197,Galliformes,Phasianidae,Tympanuchus,pallidicinctus,Adult,37.89536,-100.97481,160,37,32,0,0,0,0,0,0,0,1,1,30,0,0,0,0,5
Survival and habitat use of non-breeding bobwhites on private lands in Ohio,Janke,2009,2011,2011,Thesis: Ohio State University,,,1,169,Galliformes,Odontophoridae,Colinus,virginianus,Multiple,38.95937,-83.85811,311,183,164,10,10,0,2,0,0,0,0,0,148,0,0,0,4,19
Potential Effects of brown-headed cowbirds on host postfledging dispersal and survival,Jenkins,2012,2014,2016,Wilson Journal of Ornithology,128,2,404,411,Passeriformes,Parulidae,Seiurus,aurocapillus,Juvenile,39.25720,-92.44381,34,19,19,0,0,0,0,0,0,0,0,0,16,0,0,0,3,0
Wild turkey reproductive ecology on a fire-maintained national forest in Mississippi,Jones,1999,2000,2001,Thesis: Mississippi State University,,,1,86,Galliformes,Phasianidae,Meleagris,gallopavo,Adult,31.34102,-90.94893,69,23,23,0,0,0,0,0,0,0,0,0,23,0,0,0,0,6
Ruffed grouse survival and population structure in western North Carolina,Jones,1999,2003,2008,Proc Ann Conf SEAFWA,62,,51,57,Galliformes,Phasianidae,Bonasa,umbellus,Adult,35.17361,-83.61601,276,155,146,17,17,0,1,0,0,0,0,0,127,1,0,0,0,9
Variation in nestling body condition and wing development predict cause-specific mortality in fledgling dickcissels,Jones,2014,2015,2017,Journal of Avian Biology,48,,439,447,Passeriformes,Cardinalidae,Spiza,americana,Juvenile,40.21204,-89.05613,104,68,68,0,0,0,0,0,0,0,0,0,43,0,0,0,25,0
"Mallard survival and nesting ecology in the Lower Great Lakes Region, New York",Kaminski,2003,2004,2013,Wildlife Society Bulletin,37,4,778,786,Anseriformes,Anatidae,Anas,platyrhynchos,Adult,42.97784,-75.74924,41,9,8,0,0,0,0,0,0,0,0,0,8,0,0,0,0,1
Does fledging equal success? Post-fledging mortality in the black-fronted tern,Keedwell,1998,2000,2003,Journal of Field Ornithology,74,3,217,221,Charadriiformes,Sternidae,Sterna,albostriata,Juvenile,-44.33397,170.18436,63,12,11,0,0,0,0,0,0,0,0,0,9,2,0,0,0,1
Reproduction and Survival of Rio Grande Turkeys in Oregon,Keegan,1989,1991,1999,The Journal of Wildlife Management,63,1,204,210,Galliformes,Phasianidae,Meleagris,gallopavo,Adult,43.48769,-123.57586,76,37,37,4,0,4,0,0,0,0,0,0,27,5,1,0,0,0
"Nestling survival of white-faced ibis in Lahontan Valley, Nevada, USA",Kelchin,1995,1997,2002,Waterbirds,25,4,499,504,Ciconiiformes,Threskiornithidae,Plegadis,chihi,Juvenile,39.53994,-118.48913,81,18,16,0,0,0,0,0,0,0,0,0,4,0,0,0,12,2
"Effects of Subcutaneous Transmitter Implants on Behavior, Growth, Energetics and Survival of Common Loon chicks",Kenow,1998,1998,2003,Journal of Field Ornithology,74,2,179,186,Gaviiformes,Gaviidae,Gavia,immer,Juvenile,46.05801,-90.21140,12,4,4,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0
Demographic Estimates from Radio-Tagging: Models of Age-Specific Survival and Breeding in the Goshawk,Kenward,1980,1987,1999,Journal of Animal Ecology,68,5,1020,1033,Accipitriformes,Accipitridae,Accipiter,gentilis,Juvenile,57.50622,18.53310,124,44,44,14,14,0,0,0,0,0,0,0,0,2,6,11,11,0
Demographic Estimates from Radio-Tagging: Models of Age-Specific Survival and Breeding in the Goshawk,Kenward,1980,1987,1999,Journal of Animal Ecology,68,5,1020,1033,Accipitriformes,Accipitridae,Accipiter,gentilis,Adult,57.50622,18.53310,133,19,19,8,8,0,0,0,0,0,0,0,0,0,2,5,4,0
Postfledging movements and survival of juvenile eastern meadowlarks in Illinois,Kershner,1999,2000,2004,Auk,121,4,1146,1154,Passeriformes,Icteridae,Sturnella,magna,Juvenile,38.91645,-88.19881,50,14,14,0,0,0,1,0,0,0,1,0,4,0,0,0,8,0
Factors Affecting Breeding Season Survival of Red-Headed Woodpeckers in South Carolina,Kilgo,2006,2007,2012,The Journal of Wildlife Management,76,2,328,335,Piciformes,Picidae,Melanerpes,erythrocephalus,Adult,33.32450,-81.75607,80,20,19,0,0,0,0,0,0,0,0,0,19,0,0,0,0,1
"Status, ecology, and genetic identity of wild turkey in the Davis Mountains of Texas",King,2001,2002,2003,Thesis: Sul Ross State University,,,1,45,Galliformes,Phasianidae,Meleagris,gallopavo,Adult,30.62698,-103.96291,22,11,7,0,0,0,0,0,0,0,0,0,7,0,0,0,0,4
Habitat selection and habitat-specific survival of fledgling ovenbirds,King,1999,2000,2006,Journal of Zoology,269,4,414,421,Passeriformes,Parulidae,Seiurus,aurocapillus,Juvenile,44.05616,-71.29824,41,15,15,0,0,0,0,0,0,0,0,0,12,0,0,0,3,0
Survival of Postfledging Mallards in Northcentral Minnesota,Kirby,1972,1974,1999,The Journal of Wildlife Management,63,1,403,408,Anseriformes,Anatidae,Anas,platyrhynchos,Juvenile,47.37893,-94.62112,90,31,31,24,24,0,0,0,0,0,0,0,7,0,0,0,0,0
"Wind Energy, Nest Success, and Post-Fledging Survival of Buteo Hawks",Kolar,2010,2011,2016,The Journal of Wildlife Management,80,7,1242,1255,Accipitriformes,Accipitridae,Buteo,regalis,Juvenile,45.65679,-120.13475,10,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
